age,Count_Modified_Bones,Original_Modified_Bones
2.5,2.875,2.0
2.5,2.875,2.0
3.4,3.184615384615385,3.0
2.27,19.107692307692307,18.0
2.2,3.780821917808219,2.0
1.55,3.184615384615385,3.0
2.6,1.1896551724137931,1.0
2.05,1.6235294117647059,1.0
2.1,2.0597014925373136,1.0
2.6,3.5689655172413794,3.0
1.5499999999999998,6.225563909774436,6.0
2.5,2.875,2.0
1.43,2.442477876106195,2.0
1.75,4.0,4.0
1.42,18.31858407079646,15.0
1.46,7.2631578947368425,7.0
1.52,156.67669172932332,151.0
1.52,81.96992481203009,79.0
1.95,48.70588235294118,30.0
1.46,8.300751879699249,8.0
1.52,1.037593984962406,1.0
1.5,2.075187969924812,2.0
1.56,12.73846153846154,12.0
1.56,1.0615384615384615,1.0
1.455,33.203007518796994,32.0
1.5550000000000002,115.70769230769231,109.0
1.455,11.413533834586467,11.0
2.3449999999999998,1.0615384615384615,1.0
2.0,17.858823529411765,11.0
2.0,21.105882352941176,13.0
2.0,4.870588235294118,3.0
1.7,1.1596638655462184,1.0
1.34,60.813559322033896,52.0
1.34,66.66101694915254,57.0
1.34,119.28813559322033,102.0
1.34,78.35593220338983,67.0
1.34,4.677966101694915,4.0
1.34,145.01694915254237,124.0
1.34,92.38983050847457,79.0
1.34,49.11864406779661,42.0
1.8639999999999999,1.0866141732283465,1.0
1.8639999999999999,13.039370078740157,12.0
1.8639999999999999,9.779527559055119,9.0
1.53,2.075187969924812,2.0
1.8435000000000001,624.0,624.0
1.8435000000000001,1.0,1.0
1.681,31.310924369747898,27.0
1.8105,33.0,33.0
1.8105,4.0,4.0
1.8105,1.0,1.0
1.8105,1.0,1.0
1.8105,3.0,3.0
1.8405,1.0,1.0
1.8405,2.0,2.0
1.7,84.65546218487394,73.0
1.7414999999999998,4.6386554621848735,4.0
1.7414999999999998,4.6386554621848735,4.0
1.4,34.19469026548673,28.0
1.815,9.0,9.0
1.5,10.37593984962406,10.0
1.353,3.663716814159292,3.0
1.2349999999999999,1.7692307692307694,1.0
1.5,48.766917293233085,47.0
2.34,2.123076923076923,2.0
2.29,1.0615384615384615,1.0
