bin,Row_Sum,Row_Sum_Normalized
1.25,78,0.5652173913043478
1.35,118,0.855072463768116
1.45,113,0.8188405797101449
1.55,133,0.9637681159420289
1.65,129,0.9347826086956522
1.75,119,0.8623188405797102
1.85,138,1.0
1.95,127,0.9202898550724637
2.05,85,0.6159420289855072
2.15,67,0.4855072463768116
2.25,73,0.5289855072463768
2.35,73,0.5289855072463768
2.45,76,0.5507246376811594
2.55,96,0.6956521739130435
2.65,116,0.8405797101449275
2.75,113,0.8188405797101449
2.85,117,0.8478260869565217
2.95,109,0.7898550724637681
3.05,119,0.8623188405797102
3.15,119,0.8623188405797102
3.25,136,0.9855072463768116
3.35,130,0.9420289855072463
